"TOA5","5964","CR1000","5964","CR1000.Std.32.05","CPU:cbFLX.CR1","33758","CambridgeFAST"
"TIMESTAMP","RECORD","U","V","W","Ts","DiagSAT","CO2","H2O","Tin","Tout","Press","CO22","H2O2"
"TS","RN","m/s","m/s","m/s","deg C","","mmolm-3","mmolm-3","deg C","deg C","kPa","mmolm-3","mmolm-3"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-13 21:18:00.95",2314582,-1.35875,-5.92725,-0.169,-0.1665039,3,17.9132,49.72364,3.817621,3.236321,97.89216,19.13543,217.8933
"2023-05-13 21:18:01",2314583,-0.6705,-5.96425,-0.3615,-0.2505493,4,17.90996,49.63607,3.811136,3.246706,97.89655,19.13543,220.7387
"2023-05-13 21:18:01.05",2314584,-0.354,-5.10925,0.22825,-0.1565857,5,17.91713,49.61282,3.826699,3.237619,97.89594,19.12722,221.3954
"2023-05-13 21:18:01.1",2314585,-0.69275,-2.84275,-0.99525,0.06762695,6,17.9103,49.6399,3.820214,3.225936,97.89533,19.11901,221.067
"2023-05-13 21:18:01.15",2314586,-1.913,-3.7915,0.16825,0.1171265,7,17.91557,49.84817,3.824105,3.238917,97.88593,19.12722,223.5841
"2023-05-13 21:18:01.2",2314587,-2.85575,-1.962,-0.633,0.01983643,8,17.91182,49.83951,3.811136,3.24411,97.89543,19.13543,225.8824
"2023-05-13 21:18:01.25",2314588,-1.63575,-3.95375,0.02325,-0.3197327,9,17.90637,49.692,3.815027,3.238917,97.89445,19.11081,225.554
"2023-05-13 21:18:01.3",2314589,-2.61925,-4.21575,0.26175,-0.09060669,10,17.91023,49.73689,3.818917,3.232427,97.89726,19.19289,224.8974
"2023-05-13 21:18:01.35",2314590,-1.56475,-4.64925,-0.13875,-0.09228516,11,17.91353,49.58161,3.816324,3.20906,97.89886,19.31601,224.8974
"2023-05-13 21:18:01.4",2314591,-1.012,-5.2595,-0.07,-0.2868042,12,17.94053,49.69174,3.809839,3.238917,97.89056,19.43092,225.2257
"2023-05-13 21:18:01.45",2314592,-1.0655,-5.5435,0.7075,-0.3197327,13,17.9494,49.68793,3.821511,3.219445,97.89459,19.52941,225.0069
"2023-05-13 21:18:01.5",2314593,-1.37725,-5.38625,0.8255,-0.2323914,14,17.95956,49.74357,3.820214,3.228532,97.89276,19.48837,224.3502
"2023-05-13 21:18:01.55",2314594,-1.16875,-4.7005,0.325,-0.2077026,15,17.95888,49.83183,3.809839,3.207762,97.89398,19.37346,225.0069
"2023-05-13 21:18:01.6",2314595,-1.766,-1.94075,0.93975,-0.2192078,16,17.95382,49.91896,3.809839,3.224638,97.9063,19.22572,224.5691
"2023-05-13 21:18:01.65",2314596,-2.88725,-3.52725,-0.107,0.3529968,17,17.94745,49.71345,3.798166,3.224638,97.90434,19.11901,221.5048
"2023-05-13 21:18:01.7",2314597,-0.2015,-4.97375,0.8692501,-0.3114929,18,17.93683,49.72579,3.794275,3.227234,97.90715,19.17647,221.7237
"2023-05-13 21:18:01.75",2314598,-1.957,-3.942,0.42125,0.1930237,19,17.93196,49.56116,3.804651,3.242812,97.89947,19.29138,221.9426
"2023-05-13 21:18:01.8",2314599,-1.93925,-4.30475,-0.4875,-0.2884521,20,17.9338,49.66688,3.811136,3.240216,97.88409,19.15185,223.4747
"2023-05-13 21:18:01.85",2314600,-1.525,-4.12175,-0.11225,-0.2966614,21,17.94463,49.76384,3.787791,3.249302,97.89543,19.16826,224.5691
"2023-05-13 21:18:01.9",2314601,-0.52925,-4.77325,0.6265,-0.2274475,22,17.9774,49.69343,3.794275,3.262283,97.90654,19.38167,225.7729
"2023-05-13 21:18:01.95",2314602,0.02875,-4.1685,1.576,-0.1813354,23,18.00456,49.7594,3.789088,3.224638,97.90593,19.31601,224.3502
"2023-05-13 21:18:02",2314603,-2.07175,-2.505,1.979,0.1253662,24,18.01864,49.78511,3.809839,3.228532,97.91324,19.16006,219.0971
"2023-05-13 21:18:02.05",2314604,-2.00275,-2.92825,-0.53475,-0.0708313,25,18.023,49.68076,3.799463,3.220743,97.90153,19.19289,221.8331
"2023-05-13 21:18:02.1",2314605,-0.9855,-5.00075,0.27775,-0.1846008,26,18.01867,49.69424,3.787791,3.231129,97.90776,19.26676,222.5992
"2023-05-13 21:18:02.15",2314606,-1.47625,-4.95425,0.394,-0.08569336,27,18.01266,49.72234,3.818917,3.232427,97.90654,19.29138,219.9727
